op_queue_max_ops,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,50,50,50,50,50,50,50
1,50,50,50,50,50,50,50
2,50,50,50,50,50,50,50
3,50,50,50,50,50,50,50
4,50,50,50,50,50,50,50
5,50,50,50,50,50,50,50
6,50,50,50,50,50,50,50
7,50,50,50,50,50,50,50
8,50,50,50,50,50,50,50
9,50,50,50,50,50,50,50
10,50,50,50,50,50,50,50
11,50,50,50,50,50,50,50
12,50,50,50,50,50,50,50
13,50,50,50,50,50,50,50
14,50,50,50,50,50,50,50
15,50,50,50,50,50,50,50
16,50,50,50,50,50,50,50
17,50,50,50,50,50,50,50
18,50,50,50,50,50,50,50
19,50,50,50,50,50,50,50
20,50,50,50,50,50,50,50
21,50,50,50,50,50,50,50
22,50,50,50,50,50,50,50
23,50,50,50,50,50,50,50
24,50,50,50,50,50,50,50
25,50,50,50,50,50,50,50
26,50,50,50,50,50,50,50
27,50,50,50,50,50,50,50
28,50,50,50,50,50,50,50
29,50,50,50,50,50,50,50
30,50,50,50,50,50,50,50
31,50,50,50,50,50,50,50
32,50,50,50,50,50,50,50
33,50,50,50,50,50,50,50
34,50,50,50,50,50,50,50
35,50,50,50,50,50,50,50
36,50,50,50,50,50,50,50
37,50,50,50,50,50,50,50
38,50,50,50,50,50,50,50
39,50,50,50,50,50,50,50
40,50,50,50,50,50,50,50
41,50,50,50,50,50,50,50
42,50,50,50,50,50,50,50
43,50,50,50,50,50,50,50
44,50,50,50,50,50,50,50
45,50,50,50,50,50,50,50
46,50,50,50,50,50,50,50
47,50,50,50,50,50,50,50
48,50,50,50,50,50,50,50
49,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50
51,50,50,50,50,50,50,50
52,50,50,50,50,50,50,50
53,50,50,50,50,50,50,50
54,50,50,50,50,50,50,50
55,50,50,50,50,50,50,50
56,50,50,50,50,50,50,50
57,50,50,50,50,50,50,50
58,50,50,50,50,50,50,50
59,50,50,50,50,50,50,50
60,50,50,50,50,50,50,50
61,50,50,50,50,50,50,50
62,50,50,50,50,50,50,50
63,50,50,50,50,50,50,50
64,50,50,50,50,50,50,50
65,50,50,50,50,50,50,50
66,50,50,50,50,50,50,50
